================ Training Loss (Sun Oct 12 00:50:40 2025) ================
================ Training Loss (Sun Oct 12 01:12:40 2025) ================
[Rank 0] (epoch: 1, iters: 4000, time: 0.021, data: 0.001) , G_GAN: 2.033, G_L1: 11.155, D_real: 0.272, D_fake: 0.712

[Rank 0] (epoch: 1, iters: 4100, time: 0.018, data: 0.001) , G_GAN: 1.420, G_L1: 13.193, D_real: 0.631, D_fake: 0.197

[Rank 0] (epoch: 1, iters: 4200, time: 0.018, data: 0.001) , G_GAN: 1.196, G_L1: 16.899, D_real: 0.513, D_fake: 0.156

[Rank 0] (epoch: 1, iters: 4300, time: 0.018, data: 0.001) , G_GAN: 1.140, G_L1: 12.925, D_real: 0.604, D_fake: 0.250

[Rank 0] (epoch: 1, iters: 4400, time: 0.018, data: 0.001) , G_GAN: 0.729, G_L1: 12.369, D_real: 0.979, D_fake: 0.550

[Rank 0] (epoch: 1, iters: 4500, time: 0.018, data: 0.001) , G_GAN: 1.154, G_L1: 16.242, D_real: 0.568, D_fake: 0.166

[Rank 0] (epoch: 1, iters: 4600, time: 0.018, data: 0.001) , G_GAN: 0.935, G_L1: 13.843, D_real: 0.984, D_fake: 0.539

[Rank 0] (epoch: 1, iters: 4700, time: 0.018, data: 0.001) , G_GAN: 1.409, G_L1: 13.017, D_real: 0.390, D_fake: 0.898

[Rank 0] (epoch: 1, iters: 4800, time: 0.018, data: 0.001) , G_GAN: 1.798, G_L1: 12.417, D_real: 0.186, D_fake: 0.761

[Rank 0] (epoch: 1, iters: 4900, time: 0.018, data: 0.001) , G_GAN: 0.355, G_L1: 17.321, D_real: 2.096, D_fake: 0.151

[Rank 0] (epoch: 1, iters: 5000, time: 0.018, data: 0.001) , G_GAN: 1.423, G_L1: 12.738, D_real: 0.412, D_fake: 0.322

[Rank 0] (epoch: 1, iters: 5100, time: 0.019, data: 0.001) , G_GAN: 2.501, G_L1: 13.365, D_real: 0.141, D_fake: 0.854

[Rank 0] (epoch: 1, iters: 5200, time: 0.018, data: 0.002) , G_GAN: 1.017, G_L1: 18.221, D_real: 0.747, D_fake: 0.378

[Rank 0] (epoch: 2, iters: 28, time: 0.018, data: 0.001) , G_GAN: 0.692, G_L1: 12.698, D_real: 0.795, D_fake: 0.441

[Rank 0] (epoch: 2, iters: 128, time: 0.018, data: 0.001) , G_GAN: 1.258, G_L1: 12.646, D_real: 0.460, D_fake: 0.443

